season,circuit,Driver,compound,tyre_age,stint,stint_lap,lap_time_s,driver_fastest_lap_s,fuel_corrected_delta,lap_time_delta,data_source
2018,Silverstone,ALO,MEDIUM,4,2,3,95.032,94.773,0.4240000000000004,0.4240000000000004,fastf1_real
2018,Silverstone,ALO,MEDIUM,5,2,4,94.641,94.773,0.08800000000000921,0.08800000000000921,fastf1_real
2018,Silverstone,ALO,MEDIUM,8,2,5,95.512,94.641,1.145999999999995,1.145999999999995,fastf1_real
2018,Silverstone,ALO,MEDIUM,9,2,6,94.752,94.641,0.44099999999999,0.44099999999999,fastf1_real
2018,Silverstone,ALO,MEDIUM,10,2,7,94.382,94.641,0.12599999999999967,0.12599999999999967,fastf1_real
2018,Silverstone,ALO,MEDIUM,11,2,8,94.57,94.382,0.6279999999999881,0.6279999999999881,fastf1_real
2018,Silverstone,ALO,MEDIUM,12,2,9,94.621,94.382,0.7339999999999901,0.7339999999999901,fastf1_real
2018,Silverstone,ALO,MEDIUM,13,2,10,95.269,94.382,1.4370000000000005,1.4370000000000005,fastf1_real
2018,Silverstone,ALO,MEDIUM,14,2,11,95.062,94.382,1.2849999999999926,1.2849999999999926,fastf1_real
2018,Silverstone,ALO,MEDIUM,15,2,12,94.997,94.382,1.274999999999995,1.274999999999995,fastf1_real
2018,Silverstone,ALO,MEDIUM,16,2,13,94.948,94.382,1.2809999999999881,1.2809999999999881,fastf1_real
2018,Silverstone,ALO,MEDIUM,17,2,14,94.968,94.382,1.3559999999999985,1.3559999999999985,fastf1_real
2018,Silverstone,ALO,MEDIUM,18,2,15,95.001,94.382,1.4439999999999997,1.4439999999999997,fastf1_real
2018,Silverstone,ALO,SOFT,12,3,1,96.46,94.382,2.132999999999989,2.132999999999989,fastf1_real
2018,Silverstone,ALO,SOFT,13,3,2,94.2,94.382,-0.07200000000000216,0.0,fastf1_real
2018,Silverstone,ALO,SOFT,14,3,3,94.118,94.2,0.08299999999999216,0.08299999999999216,fastf1_real
2018,Silverstone,ALO,SOFT,15,3,4,94.08,94.118,0.1820000000000033,0.1820000000000033,fastf1_real
2018,Silverstone,ALO,SOFT,19,3,5,93.907,94.08,0.1019999999999982,0.1019999999999982,fastf1_real
